job_id	dataset	horizon	variant	seed	status
001_ETTm2_pl96_Full_s2021	ETTm2	96	Full	2021	pending
002_ETTm2_pl96_Full_s2022	ETTm2	96	Full	2022	pending
003_ETTm2_pl96_Full_s2023	ETTm2	96	Full	2023	pending
004_ETTm2_pl96_NoSDE_s2021	ETTm2	96	NoSDE	2021	pending
005_ETTm2_pl96_NoSDE_s2022	ETTm2	96	NoSDE	2022	pending
006_ETTm2_pl96_NoSDE_s2023	ETTm2	96	NoSDE	2023	pending
007_ETTm2_pl96_GlobalOnly_s2021	ETTm2	96	GlobalOnly	2021	pending
008_ETTm2_pl96_FixedGate_s2021	ETTm2	96	FixedGate	2021	pending
009_ETTm2_pl96_NoDynFilt_s2021	ETTm2	96	NoDynFilt	2021	pending
010_ETTm2_pl96_NoDynFilt_s2022	ETTm2	96	NoDynFilt	2022	pending
011_ETTm2_pl96_NoDynFilt_s2023	ETTm2	96	NoDynFilt	2023	pending
012_ETTm2_pl96_WrongPhase_s2021	ETTm2	96	WrongPhase	2021	pending
013_ETTm2_pl96_DynamicOnly_s2021	ETTm2	96	DynamicOnly	2021	pending
014_ETTm2_pl336_Full_s2021	ETTm2	336	Full	2021	pending
015_ETTm2_pl336_Full_s2022	ETTm2	336	Full	2022	pending
016_ETTm2_pl336_Full_s2023	ETTm2	336	Full	2023	pending
017_ETTm2_pl336_NoSDE_s2021	ETTm2	336	NoSDE	2021	pending
018_ETTm2_pl336_NoSDE_s2022	ETTm2	336	NoSDE	2022	pending
019_ETTm2_pl336_NoSDE_s2023	ETTm2	336	NoSDE	2023	pending
020_ETTm2_pl336_GlobalOnly_s2021	ETTm2	336	GlobalOnly	2021	pending
021_ETTm2_pl336_FixedGate_s2021	ETTm2	336	FixedGate	2021	pending
022_ETTm2_pl336_NoDynFilt_s2021	ETTm2	336	NoDynFilt	2021	pending
023_ETTm2_pl336_NoDynFilt_s2022	ETTm2	336	NoDynFilt	2022	pending
024_ETTm2_pl336_NoDynFilt_s2023	ETTm2	336	NoDynFilt	2023	pending
025_ETTm2_pl336_WrongPhase_s2021	ETTm2	336	WrongPhase	2021	pending
026_ETTm2_pl336_DynamicOnly_s2021	ETTm2	336	DynamicOnly	2021	pending
027_ETTm2_pl720_Full_s2021	ETTm2	720	Full	2021	pending
028_ETTm2_pl720_Full_s2022	ETTm2	720	Full	2022	pending
029_ETTm2_pl720_Full_s2023	ETTm2	720	Full	2023	pending
030_ETTm2_pl720_NoSDE_s2021	ETTm2	720	NoSDE	2021	pending
031_ETTm2_pl720_NoSDE_s2022	ETTm2	720	NoSDE	2022	pending
032_ETTm2_pl720_NoSDE_s2023	ETTm2	720	NoSDE	2023	pending
033_ETTm2_pl720_GlobalOnly_s2021	ETTm2	720	GlobalOnly	2021	pending
